Modello,Dataset,Parametri della configurazione,True Negative,False Negative,False Positive,True Positive,Precision Negative,Recall Negative,Fscore Negative,Precision Positive,Recall Positive,Fscore Positive,Average Accuracy,Overall Accuracy,GMean,AUC
"mlp split len(x1) .h0.15, 0,85",Train Set,"mlp split len(x1) 0.15, 0,85",32392,255,613773,23276,"0,9921891751","0,05012961086","0,09543732285","0,03653722084","0,9891632315","0,07047140392","27834,04156","0,08312428326","0,2226799674","0,5196464212"
"mlp split len(x1) .h0.15, 0,85",Sample Set,"mlp split len(x1) 0.15, 0,85",1239,255,22292,23276,"0,8293172691","0,05265394586","0,09902097902","0,5107970506","0,9891632315","0,6737000535","12257,76045","0,5209085887","0,2282177628","0,5209085887"
"mlp split len(x1) .h0.10, 0.90",Test Set,"mlp split len(x1) 0.25, 0.75",515,8,161585,2756,"0,9847036329","0,003177051203","0,006333667439","0,0167700087","0,997105644","0,0329852488","1635,50992","0,01984059589","0,05628370711","0,5001413476"
"mlp split len(x1) .h0.10, 0.90",Train Set,"mlp split len(x1) 0.25, 0.75",1916,1,644249,23530,"0,9994783516","0,00296518691","0,005912832018","0,03523620839","0,9999575029","0,06807365726","12723,019","0,03799634461","0,05445237275","0,5014613449"
"mlp split len(x1) .h0.10, 0.90",Sample Set,"mlp split len(x1) 0.25, 0.75",82,1,23449,23530,"0,9879518072","0,003484764778","0,006945032608","0,5008620873","0,9999575029","0,6674230606","11806,25086","0,5017211338","0,05903064192","0,5017211338"
"mlp split len(x1) .h0.05, 0.95",Test Set,"mlp split len(x1) 0.05, 0.95",311,9,161789,2755,"0,971875","0,001918568785","0,003829577638","0,01674324193","0,9967438495","0,03293327277","1533,009299","0,01859714674","0,04373009989","0,4993312091"
"mlp split len(x1) .h0.05, 0.95",Train Set,"mlp split len(x1) 0.05, 0.95",923,5,645242,23526,"0,994612069","0,001428427724","0,002852758413","0,03517811857","0,9997875143","0,06796485334","12224,51825","0,03650760942","0,0377905306","0,500607971"
"mlp split len(x1) .h0.05, 0.95",Sample Set,"mlp split len(x1) 0.05, 0.95",37,5,23494,23526,"0,880952381","0,001572393863","0,00313918466","0,5003402807","0,9997875143","0,6669218013","11781,75034","0,5006799541","0,03964920872","0,5006799541"
"mlp split len(x1) .h0, 1",Test Set,"mlp split len(x1) 0, 1",0,0,162100,2764,0,0,0,"0,01676533385",1,"0,03297778414","1382,008383","0,01676533385",0,"0,5"
"mlp split len(x1) .h0, 1",Train Set,"mlp split len(x1) 0, 1",0,0,646165,23531,0,0,0,"0,03513683821",1,"0,06788829633","11765,51757","0,03513683821",0,"0,5"
"mlp split len(x1) .h0, 1",Sample Set,"mlp split len(x1) 0, 1",0,0,23531,23531,0,0,0,"0,5",1,"0,6666666667","11765,75","0,5",0,"0,5"
rf_splitlen(X1)_GridSearch_model.h,Test Set,rf split len(X1) GridSearch,76916,1294,85184,1470,"0,9834548012","0,4744972239","0,6401398194","0,01696401782","0,5318379161","0,03287928605","39193,23773","0,4754585598","0,5023500918","0,50316757"
rf_splitlen(X1)_GridSearch_model.h,Train Set,rf split len(X1) GridSearch,330013,4370,316152,19161,"0,9869311538","0,5107255887","0,6731195209","0,05714362402","0,8142875356","0,1067929239","174587,2607","0,5213917957","0,644885634","0,6625065621"
rf_splitlen(X1)_GridSearch_model.h,Sample Set,rf split len(X1) GridSearch,12996,4370,10535,19161,"0,7483588621","0,5522927202","0,6355478397","0,6452384159","0,8142875356","0,7199729461","16078,84165","0,6832901279","0,6706154473","0,6832901279"
